timestep;x;y;z;w;p;r
0;-120;-140;-12;-176;1;84
4;-120;-140;-12.369226;-176;1;84
8;-120;-140;-12.735439;-176;1;84
12;-120;-140;-13.098678;-176;1;84
16;-120;-140;-13.458979;-176;1;84
20;-120.000008;-140;-13.816377;-176;1;84
24;-120;-140;-14.170911;-176;1;84
28;-120;-140;-14.522617;-176;1;84
32;-120.000008;-140;-14.871532;-176;1;84
36;-120;-140;-15.217688;-176;1;84
40;-119.999992;-139.999985;-15.561122;-176;1;84
44;-120;-140;-15.901867;-176;1;84
48;-120;-140;-16.239956;-176;1;84
52;-120;-140;-16.575428;-176;1;84
56;-120;-140;-16.908308;-176;1;84
60;-120;-140;-17.238636;-176;1;84
64;-120;-140;-17.566437;-176;1;84
68;-120;-140;-17.891748;-176;1;84
72;-120;-140;-18.214598;-176;1;84
76;-120;-140;-18.535019;-176;1;84
80;-119.999992;-139.999985;-18.853039;-176;1;84
84;-119.999992;-139.999985;-19.16869;-176;1;84
88;-120;-140;-19.482002;-176;1;84
92;-120;-140;-19.792999;-176;1;84
96;-120;-140;-20.101717;-176;1;84
100;-120;-140;-20.40818;-176;1;84
104;-119.999992;-139.999985;-20.712416;-176;1;84
108;-120;-140;-21.014456;-176;1;84
112;-120;-140;-21.314322;-176;1;84
116;-120.000008;-140;-21.612045;-176;1;84
120;-120.000008;-140;-21.907646;-176;1;84
124;-120;-140;-22.201155;-176;1;84
128;-120;-140;-22.492599;-176;1;84
132;-120.000008;-140;-22.781998;-176;1;84
136;-120;-140;-23.069382;-176;1;84
140;-120;-140;-23.354771;-176;1;84
144;-119.999992;-140;-23.638193;-176;1;84
148;-119.999992;-140;-23.919668;-176;1;84
152;-120;-140;-24.199223;-176;1;84
156;-120.000008;-140;-24.476879;-176;1;84
160;-120.000008;-140;-24.752659;-176;1;84
164;-120;-140;-25.026587;-176;1;84
168;-120;-140.000015;-25.298681;-176;1;84
172;-120;-140.000015;-25.568966;-176;1;84
176;-119.999992;-140;-25.837461;-176;1;84
180;-120;-140;-26.104191;-176;1;84
184;-120;-140;-26.369173;-176;1;84
188;-120;-140;-26.632429;-176;1;84
192;-120;-140;-26.89398;-176;1;84
196;-120.000008;-140;-27.153847;-176;1;84
200;-120;-140;-27.412043;-176;1;84
204;-120;-140;-27.668592;-176;1;84
208;-120;-140;-27.923513;-176;1;84
212;-119.999992;-139.999985;-28.176825;-176;1;84
216;-119.999992;-140;-28.428547;-176;1;84
220;-119.999992;-140;-28.678696;-176;1;84
224;-120;-140;-28.927292;-176;1;84
228;-120.000008;-140;-29.174351;-176;1;84
232;-120;-140;-29.419884;-176;1;84
236;-120;-140;-29.663919;-176;1;84
240;-120;-140;-29.906467;-176;1;84
244;-119.999992;-140;-30.147545;-176;1;84
248;-120;-140;-30.387171;-176;1;84
252;-120;-140;-30.625362;-176;1;84
256;-120;-140;-30.862131;-176;1;84
260;-120;-140;-31.097494;-176;1;84
264;-119.999992;-139.999985;-31.331469;-176;1;84
268;-119.999992;-139.999985;-31.564068;-176;1;84
