timestep;x;y;z;w;p;r
0;-80;-120;-12;-176;1;84
4;-80;-120.000008;-12.419042;-176;1;84
8;-80.000008;-120;-12.833783;-176;1;84
12;-80;-120;-13.244291;-176;1;84
16;-80;-120;-13.650632;-176;1;84
20;-80.000008;-120;-14.052866;-176;1;84
24;-80;-119.999992;-14.451055;-176;1;84
28;-80;-120;-14.845265;-176;1;84
32;-80;-120;-15.235555;-176;1;84
36;-80;-120;-15.621983;-176;1;84
40;-80;-120;-16.00461;-176;1;84
44;-80;-119.999992;-16.383495;-176;1;84
48;-80.000008;-120;-16.758696;-176;1;84
52;-79.999992;-120;-17.130268;-176;1;84
56;-80;-120;-17.49827;-176;1;84
60;-80;-120;-17.862753;-176;1;84
64;-80;-120.000008;-18.223772;-176;1;84
68;-79.999992;-120;-18.581379;-176;1;84
72;-80;-120;-18.935631;-176;1;84
76;-80;-119.999992;-19.286575;-176;1;84
80;-80;-120;-19.634264;-176;1;84
84;-80;-120.000008;-19.978746;-176;1;84
88;-80;-120;-20.320068;-176;1;84
92;-79.999992;-120;-20.658287;-176;1;84
96;-80;-119.999992;-20.993439;-176;1;84
100;-80;-119.999992;-21.325579;-176;1;84
104;-80;-120;-21.654747;-176;1;84
108;-80;-120;-21.980989;-176;1;84
112;-80;-120;-22.304356;-176;1;84
116;-80;-120.000008;-22.62488;-176;1;84
120;-80;-120;-22.94261;-176;1;84
124;-80;-120;-23.257589;-176;1;84
128;-80;-120.000008;-23.569853;-176;1;84
132;-80;-120;-23.879448;-176;1;84
136;-79.999992;-120;-24.186411;-176;1;84
140;-80;-119.999992;-24.490778;-176;1;84
144;-80;-119.999992;-24.792591;-176;1;84
148;-79.999992;-120;-25.091887;-176;1;84
152;-80;-120;-25.388702;-176;1;84
156;-80;-120.000008;-25.683075;-176;1;84
160;-80.000008;-120;-25.975037;-176;1;84
164;-80;-120.000008;-26.264627;-176;1;84
168;-80;-120.000008;-26.551874;-176;1;84
172;-80;-119.999992;-26.836819;-176;1;84
176;-80;-120;-27.11949;-176;1;84
180;-80;-120;-27.39992;-176;1;84
184;-80;-120;-27.678143;-176;1;84
188;-80;-120;-27.954187;-176;1;84
192;-80;-120;-28.228085;-176;1;84
196;-80;-119.999992;-28.49987;-176;1;84
200;-80;-120;-28.769564;-176;1;84
204;-80;-119.999992;-29.037205;-176;1;84
208;-80.000008;-120.000008;-29.302816;-176;1;84
212;-80;-120;-29.566425;-176;1;84
216;-80;-120.000008;-29.828064;-176;1;84
220;-80.000008;-120;-30.087753;-176;1;84
224;-80;-120;-30.345531;-176;1;84
228;-80;-120.000008;-30.601412;-176;1;84
232;-80;-120.000008;-30.855425;-176;1;84
236;-80;-120.000008;-31.107597;-176;1;84
240;-80;-120;-31.357952;-176;1;84
244;-80.000008;-120.000008;-31.606514;-176;1;84
248;-80;-119.999992;-31.853308;-176;1;84
252;-80.000008;-120;-32.098358;-176;1;84
256;-80;-119.999992;-32.341686;-176;1;84
260;-80;-120.000008;-32.583313;-176;1;84
264;-79.999992;-120;-32.823265;-176;1;84
268;-80;-120.000008;-33.061565;-176;1;84
272;-80;-120.000008;-33.298229;-176;1;84
276;-80;-119.999992;-33.533276;-176;1;84
280;-80;-120;-33.766735;-176;1;84
284;-80;-120.000008;-33.998627;-176;1;84
288;-80;-120;-34.228966;-176;1;84
292;-80;-120.000008;-34.457771;-176;1;84
296;-80;-120;-34.68507;-176;1;84
300;-80;-120;-34.910877;-176;1;84
304;-80.000008;-120;-35.135208;-176;1;84
308;-80;-119.999992;-35.358086;-176;1;84
312;-80;-119.999992;-35.579525;-176;1;84
316;-80;-120;-35.799549;-176;1;84
320;-79.999992;-120;-36.018169;-176;1;84
324;-80;-120;-36.235405;-176;1;84
328;-80;-120;-36.451275;-176;1;84
332;-80;-120;-36.665794;-176;1;84
336;-79.999992;-119.999992;-36.878983;-176;1;84
340;-80;-120;-37.090851;-176;1;84
344;-80;-119.999992;-37.301414;-176;1;84
348;-80;-119.999992;-37.5107;-176;1;84
352;-80;-120;-37.718708;-176;1;84
356;-80;-120;-37.925465;-176;1;84
360;-80;-119.999992;-38.130978;-176;1;84
364;-80;-119.999992;-38.335262;-176;1;84
368;-80;-120;-38.538345;-176;1;84
372;-80;-119.999992;-38.740227;-176;1;84
376;-80;-119.999992;-38.940922;-176;1;84
380;-80;-120;-39.140453;-176;1;84
384;-80;-119.999992;-39.338821;-176;1;84
388;-80;-120;-39.536049;-176;1;84
392;-80;-120.000008;-39.732155;-176;1;84
396;-80;-120;-39.927132;-176;1;84
400;-80;-119.999992;-40.12101;-176;1;84
404;-80;-120;-40.313801;-176;1;84
408;-80.000008;-120.000008;-40.505508;-176;1;84
412;-80;-120;-40.696152;-176;1;84
416;-80.000008;-120.000008;-40.885738;-176;1;84
420;-80;-119.999992;-41.074284;-176;1;84
424;-80;-119.999992;-41.261795;-176;1;84
428;-80;-119.999992;-41.448284;-176;1;84
432;-80;-120.000008;-41.63377;-176;1;84
436;-80;-119.999992;-41.818253;-176;1;84
440;-80;-120;-42.001751;-176;1;84
444;-80;-120;-42.184273;-176;1;84
448;-80;-119.999992;-42.365826;-176;1;84
452;-80;-120;-42.546429;-176;1;84
456;-80;-120;-42.726086;-176;1;84
460;-80;-120;-42.904804;-176;1;84
464;-80;-120.000008;-43.0826;-176;1;84
468;-80;-120.000008;-43.25948;-176;1;84
472;-80;-120;-43.435455;-176;1;84
476;-80;-119.999992;-43.610531;-176;1;84
480;-80;-120;-43.784725;-176;1;84
484;-80;-119.999992;-43.958038;-176;1;84
488;-80;-119.999992;-44.130486;-176;1;84
492;-80;-120;-44.302074;-176;1;84
496;-80;-120.000008;-44.472805;-176;1;84
500;-80;-120.000008;-44.642704;-176;1;84
504;-80;-120;-44.811764;-176;1;84
508;-80;-120;-44.980003;-176;1;84
512;-80;-120;-45.147423;-176;1;84
516;-80;-120;-45.314037;-176;1;84
520;-80;-120;-45.479851;-176;1;84
524;-79.999992;-119.999992;-45.644867;-176;1;84
528;-80;-119.999992;-45.809105;-176;1;84
532;-80;-120;-45.972565;-176;1;84
536;-80;-119.999992;-46.135258;-176;1;84
540;-80;-119.999992;-46.297184;-176;1;84
544;-80.000008;-120.000008;-46.458366;-176;1;84
548;-80;-120.000008;-46.618805;-176;1;84
552;-80;-120;-46.778801;-176;1;84
556;-80;-120;-46.938805;-176;1;84
560;-80;-120;-47.098801;-176;1;84
564;-80;-120.000008;-47.258801;-176;1;84
568;-80;-120;-47.4188;-176;1;84
572;-80;-120;-47.578796;-176;1;84
576;-80;-120;-47.7388;-176;1;84
580;-80;-120;-47.8988;-176;1;84
584;-80;-120;-48.058796;-176;1;84
588;-80;-120;-48.2188;-176;1;84
592;-80;-120;-48.378803;-176;1;84
596;-80;-120;-48.538799;-176;1;84
600;-80;-120;-48.698799;-176;1;84
604;-80;-120;-48.858799;-176;1;84
608;-80;-120;-49.018799;-176;1;84
612;-80;-120;-49.178802;-176;1;84
616;-80;-120.000008;-49.338802;-176;1;84
620;-80;-120.000008;-49.498802;-176;1;84
624;-80;-120;-49.658802;-176;1;84
628;-80;-120;-49.818798;-176;1;84
632;-80;-120.000008;-49.978802;-176;1;84
636;-80;-120.000008;-50.138805;-176;1;84
640;-80;-120.000008;-50.298801;-176;1;84
644;-80;-120;-50.458801;-176;1;84
648;-80;-120.000008;-50.618797;-176;1;84
652;-80.000008;-120.000008;-50.778801;-176;1;84
656;-80.000008;-120.000008;-50.938805;-176;1;84
660;-80;-120;-51.098801;-176;1;84
664;-80;-120.000008;-51.258801;-176;1;84
668;-80;-120;-51.418804;-176;1;84
672;-80;-120.000008;-51.578804;-176;1;84
676;-80;-120;-51.738804;-176;1;84
680;-80;-120;-51.8988;-176;1;84
684;-80;-120;-52.0588;-176;1;84
688;-80;-120.000008;-52.218803;-176;1;84
692;-80;-120;-52.378803;-176;1;84
696;-80;-120;-52.538795;-176;1;84
700;-80;-120;-52.698803;-176;1;84
704;-80;-119.999992;-52.858799;-176;1;84
708;-80;-120;-53.018803;-176;1;84
712;-80;-120;-53.178802;-176;1;84
716;-80;-120;-53.338802;-176;1;84
720;-80;-119.999992;-53.498798;-176;1;84
724;-80;-119.999992;-53.658798;-176;1;84
728;-80;-119.999992;-53.818798;-176;1;84
732;-80;-120;-53.978802;-176;1;84
736;-80;-120;-54.138798;-176;1;84
740;-80;-119.999992;-54.298798;-176;1;84
744;-80;-119.999992;-54.458801;-176;1;84
748;-80;-120;-54.618797;-176;1;84
752;-80;-120;-54.778801;-176;1;84
756;-80;-119.999992;-54.938797;-176;1;84
760;-80;-119.999992;-55.098801;-176;1;84
764;-80;-120;-55.258801;-176;1;84
768;-80;-120;-55.4188;-176;1;84
772;-80;-119.999992;-55.578796;-176;1;84
776;-80;-120;-55.738804;-176;1;84
780;-80;-120;-55.8988;-176;1;84
784;-80;-120;-56.058804;-176;1;84
788;-80;-120;-56.2188;-176;1;84
792;-80;-120;-56.378803;-176;1;84
796;-80;-119.999992;-56.538799;-176;1;84
800;-80;-120;-56.698799;-176;1;84
804;-80;-120;-56.858799;-176;1;84
808;-80;-120;-57.018803;-176;1;84
812;-80;-119.999992;-57.178802;-176;1;84
816;-80;-120;-57.338795;-176;1;84
820;-80;-120;-57.498798;-176;1;84
824;-80;-120;-57.658802;-176;1;84
828;-80;-119.999992;-57.818802;-176;1;84
832;-80;-120;-57.978798;-176;1;84
836;-80;-120;-58.138802;-176;1;84
840;-80;-120;-58.298805;-176;1;84
844;-80;-120;-58.458801;-176;1;84
848;-80;-120.000008;-58.618801;-176;1;84
852;-80;-120.000008;-58.778801;-176;1;84
856;-80;-120;-58.938801;-176;1;84
860;-80;-120;-59.098801;-176;1;84
864;-80;-120.000008;-59.258804;-176;1;84
868;-80;-120.000008;-59.4188;-176;1;84
872;-80;-120;-59.578804;-176;1;84
876;-80;-120;-59.738796;-176;1;84
880;-80;-120.000008;-59.898796;-176;1;84
884;-80;-120.000008;-60.058807;-176;1;84
888;-80;-120;-60.218796;-176;1;84
892;-80;-120;-60.378796;-176;1;84
896;-80;-119.999992;-60.538799;-176;1;84
900;-80;-120.000008;-60.698803;-176;1;84
904;-80;-120;-60.858799;-176;1;84
908;-80;-120;-61.018795;-176;1;84
912;-80;-119.999992;-61.178795;-176;1;84
916;-80;-120.000008;-61.338806;-176;1;84
920;-80;-120.000008;-61.498806;-176;1;84
924;-80;-120;-61.658794;-176;1;84
928;-80;-119.999992;-61.818798;-176;1;84
932;-80;-120.000008;-61.978802;-176;1;84
936;-80;-120.000008;-62.138802;-176;1;84
940;-80;-120;-62.298798;-176;1;84
