timestep;x;y;z;w;p;r
0;0;-80;-12;-176;1;84
4;0;-79.999992;-12.6;-176;1;84
8;0;-80;-13.2;-176;1;84
12;0;-80;-13.8;-176;1;84
16;0;-80;-14.4;-176;1;84
20;0;-80;-15;-176;1;84
24;0;-80;-15.599999;-176;1;84
28;0;-80;-16.199999;-176;1;84
32;0;-80;-16.800001;-176;1;84
36;0;-80;-17.4;-176;1;84
40;0;-80;-18;-176;1;84
44;0;-80;-18.6;-176;1;84
48;0;-80;-19.199999;-176;1;84
52;0;-80.000008;-19.799999;-176;1;84
56;0;-80;-20.4;-176;1;84
60;0;-80;-20.999998;-176;1;84
64;0;-80;-21.6;-176;1;84
68;0;-79.999992;-22.199999;-176;1;84
72;0;-80;-22.800001;-176;1;84
76;0;-80;-23.4;-176;1;84
80;0;-80;-24;-176;1;84
84;0;-80;-24.599998;-176;1;84
88;0;-80;-25.200001;-176;1;84
92;0;-80;-25.800001;-176;1;84
96;0;-80;-26.4;-176;1;84
100;0;-80;-26.99966;-176;1;84
104;0;-80;-27.591125;-176;1;84
108;0;-80;-28.172342;-176;1;84
112;0;-80;-28.74358;-176;1;84   
116;0;-80;-29.305098;-176;1;84
120;0;-80;-29.857151;-176;1;84
124;0;-80;-30.399994;-176;1;84
128;0;-80;-30.933863;-176;1;84
132;0;-80;-31.458992;-176;1;84
136;0;-80;-31.975616;-176;1;84
140;0;-80;-32.483963;-176;1;84
144;0;-80;-32.984238;-176;1;84
148;0;-80;-33.476665;-176;1;84
152;0;-80;-33.961441;-176;1;84
156;0;-80;-34.438766;-176;1;84
160;0;-80;-34.908836;-176;1;84
164;0;-80;-35.371834;-176;1;84
168;0;-80;-35.827946;-176;1;84
172;0;-80;-36.277348;-176;1;84
176;0;-80;-36.720207;-176;1;84
180;0;-80;-37.156693;-176;1;84
184;0;-80;-37.586971;-176;1;84
188;0;-80;-38.011189;-176;1;84
192;0;-80;-38.429497;-176;1;84
196;0;-80;-38.842052;-176;1;84
200;0;-80;-39.248985;-176;1;84
204;0;-80.000008;-39.65044;-176;1;84
208;0;-80;-40.046547;-176;1;84
212;0;-80;-40.437439;-176;1;84
216;0;-80;-40.823235;-176;1;84
220;0;-79.999992;-41.204056;-176;1;84
224;0;-80;-41.580036;-176;1;84
228;0;-80;-41.951267;-176;1;84
232;0;-80;-42.317879;-176;1;84
236;0;-80;-42.679966;-176;1;84
240;0;-80.000008;-43.037647;-176;1;84
244;0;-80;-43.390999;-176;1;84
248;0;-80;-43.740139;-176;1;84
252;0;-80;-44.085159;-176;1;84
256;0;-80;-44.426151;-176;1;84
260;0;-80;-44.763199;-176;1;84
264;0;-80.000008;-45.096397;-176;1;84
268;0;-80.000008;-45.425827;-176;1;84
272;0;-80.000008;-45.751568;-176;1;84
276;0;-80;-46.073704;-176;1;84
280;0;-80;-46.392315;-176;1;84
284;0;-80;-46.70747;-176;1;84
288;0;-80;-47.019241;-176;1;84
292;0;-80;-47.327702;-176;1;84
296;0;-80;-47.632927;-176;1;84
300;0;-80;-47.934971;-176;1;84
304;0;-80;-48.23391;-176;1;84
308;0;-80;-48.5298;-176;1;84
312;0;-80;-48.822708;-176;1;84
316;0;-80;-49.112694;-176;1;84
320;0;-80;-49.399807;-176;1;84
324;0;-80;-49.684116;-176;1;84
328;0;-80;-49.965664;-176;1;84
332;0;-80;-50.244522;-176;1;84
336;0;-80;-50.520721;-176;1;84
340;0;-80;-50.794334;-176;1;84
344;0;-80;-51.065388;-176;1;84
348;0;-80;-51.333946;-176;1;84
352;0;-80;-51.60006;-176;1;84
356;0;-80;-51.863754;-176;1;84
360;0;-80;-52.125088;-176;1;84
364;0;-80;-52.384109;-176;1;84
368;0;-80;-52.640846;-176;1;84
372;0;-80;-52.895355;-176;1;84
376;0;-80;-53.147671;-176;1;84
380;0;-80;-53.397823;-176;1;84
384;0;-80;-53.645863;-176;1;84
388;0;-80;-53.891823;-176;1;84
392;0;-80;-54.135738;-176;1;84
396;0;-80;-54.377644;-176;1;84
400;0;-80;-54.617584;-176;1;84
404;0;-80;-54.855579;-176;1;84
408;0;-80;-55.091663;-176;1;84
